*********************************************
*** Started on 2023-07-08 17:49:32.522642 ***
*********************************************

Mod ID: 6b8f52bd-4262-4cc6-b21f-ecdbcf3dbc56
Mod Name: 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Comp.Name: 츠카츠키리오의밀레니엄사이언스스쿨
Mod Authors: N/A

Mod Name (no extra): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Name (clean): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Comp.Name (clean): 츠카츠키리오의밀레니엄사이언스스쿨

Mod Name (HTML): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Name (HTML - en_US): Tsukatsuki Rio's Millennium Science School

CREATED: C:/Users/humpel/Documents/Firaxis ModBuddy/Civilization VI/CTC - ComputerTranslatedCivilizations/CTC - Computer Translated Civilizations/2976893035

CREATED DIR (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035\Tsukatsuki_Rio.modinfo


------------------------------------------------------------
FrontEndActions:
------------------------------------------------------------
XML file found: BA_Text.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_Text.xml
XML file found: BA_ConfigText.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_ConfigText.xml

------------------------------------------------------------
InGameActions:
------------------------------------------------------------
XML file found: BA_ConfigText.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_ConfigText.xml

XML file found: BA_Text.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_Text.xml


------------------------------------------------------------
Entries found: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
FrontEnd entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
InGame entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
------------------------------------------------------------
Max entries: ['ko_KR']
Default language: ko_KR: 52


FrontEnd translations:

  1 - LOC_PEDIA_CIVILIZATIONS_PAGE_CIVILIZATION_BA_MILLENNIUM_CHAPTER_HISTORY_PARA_1:  (164) ->  en_US(429)   fr_FR(459)   de_DE(548)   it_IT(462)   es_ES(473)   ja_JP(126)   ru_RU(440)   pl_PL(409)   zh_Hans_CN(96)   zh_Hant_HK(96)   
  19 - LOC_CITIZEN_MILLENNIUM_FEMALE_18:  (3) ->  en_US(7)   fr_FR(7)   de_DE(7)   it_IT(7)   es_ES(7)   ja_JP(3)   ru_RU(6)   pl_PL(7)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  20 - LOC_CITIZEN_MILLENNIUM_FEMALE_19:  (2) ->  en_US(4)   fr_FR(3)   de_DE(4)   it_IT(3)   es_ES(3)   ja_JP(2)   ru_RU(3)   pl_PL(3)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  21 - LOC_CIVLIZATION_MILLENNIUM_CITY_1:  (7) ->  en_US(16)   fr_FR(18)   de_DE(15)   it_IT(16)   es_ES(17)   ja_JP(8)   ru_RU(18)   pl_PL(17)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  22 - LOC_CIVLIZATION_MILLENNIUM_CITY_2:  (9) ->  en_US(16)   fr_FR(19)   de_DE(22)   it_IT(25)   es_ES(21)   ja_JP(11)   ru_RU(21)   pl_PL(19)   zh_Hans_CN(4)   zh_Hant_HK(4)   
  23 - LOC_CIVLIZATION_MILLENNIUM_CITY_3:  (3) ->  en_US(7)   fr_FR(12)   de_DE(10)   it_IT(10)   es_ES(10)   ja_JP(3)   ru_RU(10)   pl_PL(10)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  24 - LOC_CIVLIZATION_MILLENNIUM_CITY_4:  (5) ->  en_US(14)   fr_FR(18)   de_DE(12)   it_IT(16)   es_ES(15)   ja_JP(4)   ru_RU(17)   pl_PL(16)   zh_Hans_CN(4)   zh_Hant_HK(4)   
  25 - LOC_CIVLIZATION_MILLENNIUM_CITY_5:  (6) ->  en_US(24)   fr_FR(31)   de_DE(27)   it_IT(30)   es_ES(31)   ja_JP(5)   ru_RU(28)   pl_PL(28)   zh_Hans_CN(5)   zh_Hant_HK(5)   
  26 - LOC_CIVLIZATION_MILLENNIUM_CITY_6:  (6) ->  en_US(11)   fr_FR(17)   de_DE(13)   it_IT(10)   es_ES(15)   ja_JP(7)   ru_RU(10)   pl_PL(14)   zh_Hans_CN(4)   zh_Hant_HK(4)   
  27 - LOC_CIVLIZATION_MILLENNIUM_CITY_7:  (3) ->  en_US(11)   fr_FR(19)   de_DE(9)   it_IT(18)   es_ES(17)   ja_JP(3)   ru_RU(14)   pl_PL(11)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  28 - LOC_CIVLIZATION_MILLENNIUM_CITY_8:  (7) ->  en_US(14)   fr_FR(14)   de_DE(14)   it_IT(14)   es_ES(8)   ja_JP(10)   ru_RU(12)   pl_PL(15)   zh_Hans_CN(4)   zh_Hant_HK(4)   
  29 - LOC_CIVLIZATION_MILLENNIUM_CITY_9:  (8) ->  en_US(38)   fr_FR(53)   de_DE(41)   it_IT(49)   es_ES(52)   ja_JP(9)   ru_RU(33)   pl_PL(28)   zh_Hans_CN(8)   zh_Hant_HK(8)   
  30 - LOC_CIVLIZATION_MILLENNIUM_CITY_10:  (9) ->  en_US(16)   fr_FR(18)   de_DE(12)   it_IT(18)   es_ES(16)   ja_JP(12)   ru_RU(18)   pl_PL(23)   zh_Hans_CN(5)   zh_Hant_HK(5)   
  31 - LOC_CIVINFO_BA_MILLENNIUM_LOCATION:  (4) ->  en_US(8)   fr_FR(8)   de_DE(8)   it_IT(8)   es_ES(8)   ja_JP(4)   ru_RU(8)   pl_PL(8)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  32 - LOC_LEADER_BA_TSUKATSUKI_RIO_QUOTE:  (22) ->  en_US(60)   fr_FR(69)   de_DE(70)   it_IT(61)   es_ES(54)   ja_JP(18)   ru_RU(38)   pl_PL(72)   zh_Hans_CN(17)   zh_Hant_HK(17)   
  33 - LOC_AGENDA_BA_TSUKATSUKI_RIO_NAME:  (5) ->  en_US(19)   fr_FR(25)   de_DE(21)   it_IT(28)   es_ES(25)   ja_JP(4)   ru_RU(23)   pl_PL(19)   zh_Hans_CN(4)   zh_Hant_HK(4)   
  34 - LOC_AGENDA_BA_TSUKATSUKI_RIO_DESCRIPTION:  (59) ->  en_US(104)   fr_FR(122)   de_DE(112)   it_IT(97)   es_ES(129)   ja_JP(42)   ru_RU(98)   pl_PL(100)   zh_Hans_CN(31)   zh_Hant_HK(31)   
  35 - LOC_DIPLO_KUDO_LEADER_BA_TSUKATSUKI_RIO_REASON_ANY:  (18) ->  en_US(23)   fr_FR(29)   de_DE(26)   it_IT(23)   es_ES(22)   ja_JP(16)   ru_RU(29)   pl_PL(25)   zh_Hans_CN(8)   zh_Hant_HK(8)   
  36 - LOC_DIPLO_MODIFIER_BA_TSUKATSUKI_RIO_HAPPY:  (9) ->  en_US(9)   fr_FR(12)   de_DE(12)   it_IT(16)   es_ES(17)   ja_JP(7)   ru_RU(9)   pl_PL(17)   zh_Hans_CN(4)   zh_Hant_HK(4)   
  37 - LOC_DIPLO_WARNING_LEADER_BA_TSUKATSUKI_RIO_REASON_ANY:  (17) ->  en_US(27)   fr_FR(29)   de_DE(33)   it_IT(28)   es_ES(29)   ja_JP(15)   ru_RU(36)   pl_PL(35)   zh_Hans_CN(12)   zh_Hant_HK(12)   
  38 - LOC_DIPLO_MODIFIER_BA_TSUKATSUKI_RIO_UNHAPPY:  (6) ->  en_US(18)   fr_FR(16)   de_DE(19)   it_IT(19)   es_ES(18)   ja_JP(6)   ru_RU(14)   pl_PL(19)   zh_Hans_CN(6)   zh_Hant_HK(6)   
  39 - LOC_BA_NO_NAVAL_PENALTY_DESCRIPTION:  (15) ->  en_US(35)   fr_FR(42)   de_DE(39)   it_IT(39)   es_ES(45)   ja_JP(15)   ru_RU(37)   pl_PL(39)   zh_Hans_CN(10)   zh_Hant_HK(10)   
  40 - LOC_DISTRICT_CAMPUS_PRODUCTION:  (35) ->  en_US(56)   fr_FR(62)   de_DE(72)   it_IT(58)   es_ES(58)   ja_JP(33)   ru_RU(56)   pl_PL(57)   zh_Hans_CN(28)   zh_Hant_HK(28)   
  41 - LOC_CIVILIZATION_BA_MILLENNIUM_NAME:  (4) ->  en_US(10)   fr_FR(10)   de_DE(10)   it_IT(9)   es_ES(7)   ja_JP(5)   ru_RU(11)   pl_PL(11)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  42 - LOC_CIVILIZATION_BA_MILLENNIUM_DESCRIPTION:  (12) ->  en_US(25)   fr_FR(32)   de_DE(25)   it_IT(31)   es_ES(31)   ja_JP(14)   ru_RU(25)   pl_PL(24)   zh_Hans_CN(6)   zh_Hant_HK(6)   
  43 - LOC_CIVILIZATION_BA_MILLENNIUM_ADJECTIVE:  (4) ->  en_US(10)   fr_FR(10)   de_DE(10)   it_IT(9)   es_ES(7)   ja_JP(5)   ru_RU(11)   pl_PL(11)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  44 - LOC_LEADER_BA_TSUKATSUKI_RIO_NAME:  (7) ->  en_US(14)   fr_FR(14)   de_DE(14)   it_IT(14)   es_ES(14)   ja_JP(4)   ru_RU(12)   pl_PL(14)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  45 - LOC_CIVILIZATION_BA_RESEARCH_PROSPERITY_NAME:  (3) ->  en_US(7)   fr_FR(9)   de_DE(7)   it_IT(9)   es_ES(9)   ja_JP(4)   ru_RU(7)   pl_PL(10)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  46 - LOC_CIVILIZATION_BA_RESEARCH_PROSPERITY_DESCRIPTION:  (96) ->  en_US(187)   fr_FR(220)   de_DE(235)   it_IT(209)   es_ES(204)   ja_JP(87)   ru_RU(202)   pl_PL(197)   zh_Hans_CN(85)   zh_Hant_HK(85)   
  47 - LOC_TRAIT_BIG_SISTER_NAME:  (5) ->  en_US(10)   fr_FR(12)   de_DE(15)   it_IT(16)   es_ES(13)   ja_JP(7)   ru_RU(14)   pl_PL(12)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  48 - LOC_TRAIT_BIG_SISTER_DESCRIPTION:  (84) ->  en_US(144)   fr_FR(154)   de_DE(168)   it_IT(147)   es_ES(151)   ja_JP(80)   ru_RU(157)   pl_PL(148)   zh_Hans_CN(57)   zh_Hant_HK(57)   
  49 - LOC_DISTRICT_BA_ENGINEER_CLUB_NAME:  (5) ->  en_US(22)   fr_FR(24)   de_DE(20)   it_IT(26)   es_ES(26)   ja_JP(6)   ru_RU(16)   pl_PL(18)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  50 - LOC_DISTRICT_BA_ENGINEER_CLUB_DESCRIPTION:  (59) ->  en_US(103)   fr_FR(116)   de_DE(128)   it_IT(111)   es_ES(125)   ja_JP(55)   ru_RU(104)   pl_PL(112)   zh_Hans_CN(30)   zh_Hant_HK(30)   
  51 - LOC_UNIT_BA_CNC_NAME:  (21) ->  en_US(21)   fr_FR(24)   de_DE(19)   it_IT(17)   es_ES(19)   ja_JP(6)   ru_RU(17)   pl_PL(25)   zh_Hans_CN(5)   zh_Hant_HK(5)   
  52 - LOC_UNIT_BA_CNC_DESCRIPTION:  (107) ->  en_US(191)   fr_FR(237)   de_DE(229)   it_IT(238)   es_ES(230)   ja_JP(95)   ru_RU(190)   pl_PL(189)   zh_Hans_CN(80)   zh_Hant_HK(80)   

InGame translations:

  1 - LOC_CIVILIZATION_BA_MILLENNIUM_NAME :  (4) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  2 - LOC_CIVILIZATION_BA_MILLENNIUM_DESCRIPTION :  (12) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  3 - LOC_CIVILIZATION_BA_MILLENNIUM_ADJECTIVE :  (4) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  4 - LOC_LEADER_BA_TSUKATSUKI_RIO_NAME :  (7) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  5 - LOC_CIVILIZATION_BA_RESEARCH_PROSPERITY_NAME :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  6 - LOC_CIVILIZATION_BA_RESEARCH_PROSPERITY_DESCRIPTION :  (96) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  7 - LOC_TRAIT_BIG_SISTER_NAME :  (5) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  8 - LOC_TRAIT_BIG_SISTER_DESCRIPTION :  (84) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  9 - LOC_DISTRICT_BA_ENGINEER_CLUB_NAME :  (5) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  10 - LOC_DISTRICT_BA_ENGINEER_CLUB_DESCRIPTION :  (59) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  11 - LOC_UNIT_BA_CNC_NAME :  (21) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  12 - LOC_UNIT_BA_CNC_DESCRIPTION :  (107) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  13 - LOC_PEDIA_CIVILIZATIONS_PAGE_CIVILIZATION_BA_MILLENNIUM_CHAPTER_HISTORY_PARA_1 :  (164) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  14 - LOC_CITIZEN_MILLENNIUM_FEMALE_1 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  15 - LOC_CITIZEN_MILLENNIUM_FEMALE_2 :  (2) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  16 - LOC_CITIZEN_MILLENNIUM_FEMALE_3 :  (2) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  17 - LOC_CITIZEN_MILLENNIUM_FEMALE_4 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  18 - LOC_CITIZEN_MILLENNIUM_FEMALE_5 :  (2) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  19 - LOC_CITIZEN_MILLENNIUM_FEMALE_6 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  20 - LOC_CITIZEN_MILLENNIUM_FEMALE_7 :  (2) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  21 - LOC_CITIZEN_MILLENNIUM_FEMALE_8 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  22 - LOC_CITIZEN_MILLENNIUM_FEMALE_9 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  23 - LOC_CITIZEN_MILLENNIUM_FEMALE_10 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  24 - LOC_CITIZEN_MILLENNIUM_FEMALE_11 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  25 - LOC_CITIZEN_MILLENNIUM_FEMALE_12 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  26 - LOC_CITIZEN_MILLENNIUM_FEMALE_13 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  27 - LOC_CITIZEN_MILLENNIUM_FEMALE_14 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  28 - LOC_CITIZEN_MILLENNIUM_FEMALE_15 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  29 - LOC_CITIZEN_MILLENNIUM_FEMALE_16 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  30 - LOC_CITIZEN_MILLENNIUM_FEMALE_17 :  (2) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
  31 - LOC_CITIZEN_MILLENNIUM_FEMALE_18 :  (3) ->  (en_US)   (fr_FR)   (de_DE)   (it_IT)   (es_ES)   (ja_JP)   (ru_RU)   (pl_PL)   (zh_Hans_CN)   (zh_Hant_HK)   
